release_year,runtime,seasons,imdb_score,type,title
1941,84,0.0,6.6,MOVIE,That Uncertain Feeling
1933,75,0.0,6.4,MOVIE,The Emperor Jones
1942,77,0.0,3.5,MOVIE,The Mad Monster
1943,108,0.0,5.9,MOVIE,The North Star
1936,65,0.0,3.4,MOVIE,Revolt of the Zombies
1949,90,0.0,6.2,MOVIE,Tulsa
1949,140,0.0,6.0,MOVIE,Africa Screams
1944,71,0.0,5.9,MOVIE,Bluebeard
1945,90,0.0,6.3,MOVIE,Captain Kidd
1945,59,0.0,8.3,MOVIE,Nazi Concentration Camps
1915,67,0.0,5.7,MOVIE,A Fool There Was
1936,99,0.0,6.9,MOVIE,Come and Get It
1918,60,0.0,5.8,MOVIE,Tarzan of the Apes
1949,70,0.0,5.7,MOVIE,Riders of the Whistling Pines
1943,90,0.0,6.1,MOVIE,The Woman of the Town
1942,61,0.0,5.3,MOVIE,Bowery at Midnight
1946,72,0.0,6.8,MOVIE,Dressed to Kill
1936,102,0.0,7.2,MOVIE,Little Lord Fauntleroy
1920,73,0.0,6.7,MOVIE,The Last of the Mohicans
1920,87,0.0,5.9,MOVIE,Sex
1929,103,0.0,7.0,MOVIE,The Iron Mask
1926,94,0.0,7.1,MOVIE,The Black Pirate
1931,72,0.0,4.8,MOVIE,Air Eagles
1948,100,0.0,7.2,MOVIE,Enchantment
1941,65,0.0,5.4,MOVIE,Spooks Run Wild
1937,92,0.0,6.2,MOVIE,"Swing High, Swing Low"
1947,65,0.0,4.0,MOVIE,Scared to Death
1915,59,0.0,6.2,MOVIE,Alice in Wonderland
1932,85,0.0,6.4,MOVIE,The Animal Kingdom
1929,95,0.0,5.8,MOVIE,Glorifying the American Girl
1943,91,0.0,6.3,MOVIE,Lady of Burlesque
1933,228,0.0,4.9,MOVIE,Tarzan the Fearless
1939,68,0.0,4.8,MOVIE,The Gorilla
1943,42,0.0,7.0,MOVIE,Why We Fight: The Nazis Strike
1943,88,0.0,6.0,MOVIE,Gung Ho!
1935,60,0.0,6.8,MOVIE,Hop-a-long Cassidy
1915,59,0.0,6.5,MOVIE,The Cheat
1950,106,0.0,7.3,MOVIE,Three Came Home
1936,63,0.0,5.3,MOVIE,Yellowstone
1934,59,0.0,5.3,MOVIE,Blue Steel
1939,68,0.0,6.6,MOVIE,Nancy Drew... Reporter
1944,75,0.0,5.3,MOVIE,One Body Too Many
1926,84,0.0,7.4,MOVIE,Sparrows
1950,90,0.0,6.7,MOVIE,Hollow Triumph
1947,85,0.0,6.4,MOVIE,Dishonored Lady
1950,91,0.0,6.3,MOVIE,The Second Woman
1941,88,0.0,6.8,MOVIE,Topper Returns
1950,79,0.0,6.6,MOVIE,Quicksand
1932,75,0.0,6.0,MOVIE,The Death Kiss
1943,64,0.0,4.4,MOVIE,The Ape Man
1936,80,0.0,6.2,MOVIE,The Amazing Quest of Ernest Bliss
1950,88,0.0,6.5,MOVIE,The Great Rupert
1939,92,0.0,6.8,MOVIE,They Made Me a Criminal
1934,76,0.0,5.5,MOVIE,Midnight
1945,78,0.0,6.5,MOVIE,The Great Flamarion
1941,57,0.0,6.0,MOVIE,The Driftin' Kid
1934,60,0.0,5.9,MOVIE,The Return Of Chandu
1935,56,0.0,4.2,MOVIE,Suicide Squad
1943,132,0.0,6.3,MOVIE,Stage Door Canteen
1942,64,0.0,4.5,MOVIE,The Corpse Vanishes
1942,64,0.0,4.2,MOVIE,Black Dragons
1941,61,0.0,5.4,MOVIE,The Gang's All Here
1940,84,0.0,6.5,MOVIE,Beyond Tomorrow
1914,63,0.0,5.8,MOVIE,A Florida Enchantment
1948,106,0.0,5.2,MOVIE,The Babe Ruth Story
1943,83,0.0,7.1,MOVIE,Why We Fight: The Battle of Russia
1929,90,0.0,6.3,MOVIE,Bulldog Drummond
1925,73,0.0,6.6,MOVIE,The Eagle
1946,85,0.0,5.5,MOVIE,Whistle Stop
1948,70,0.0,6.3,MOVIE,Eyes of Texas
1934,52,0.0,5.1,MOVIE,'Neath the Arizona Skies
1931,85,0.0,6.2,MOVIE,Millie
1941,48,0.0,6.3,MOVIE,Target for Tonight
1950,91,0.0,5.9,MOVIE,The Capture
1944,52,0.0,6.5,MOVIE,Attack in the Pacific
1948,70,0.0,5.6,MOVIE,Under California Stars
1943,47,0.0,6.4,MOVIE,Report from the Aleutians
1924,85,0.0,7.1,MOVIE,The Marriage Circle
1948,78,0.0,5.9,MOVIE,Loaded Pistols
1935,78,0.0,6.5,MOVIE,Scrooge
1937,62,0.0,5.6,MOVIE,Hoosier Schoolboy
1941,63,0.0,5.2,MOVIE,Invisible Ghost
1940,78,0.0,4.9,MOVIE,Li'l Abner
1943,81,0.0,6.5,MOVIE,The Crystal Ball
1918,117,0.0,6.6,MOVIE,Hearts of the World
1919,89,0.0,6.9,MOVIE,Blind Husbands
1945,90,0.0,5.4,MOVIE,"Salome, Where She Danced"
1940,86,0.0,6.6,MOVIE,Tom Brown's School Days
1935,70,0.0,4.4,MOVIE,Chandu on the Magic Island
1949,91,0.0,6.8,MOVIE,Not Wanted
1938,53,0.0,5.8,MOVIE,Billy The Kid Returns
1948,73,0.0,6.0,MOVIE,Blonde Ice
1941,59,0.0,5.9,MOVIE,Robin Hood of the Pecos
1950,81,0.0,5.3,MOVIE,High Lonesome
1946,100,0.0,6.8,MOVIE,Angel on My Shoulder
1944,94,0.0,6.8,MOVIE,The Princess and the Pirate
1943,75,0.0,5.3,MOVIE,City Without Men
1944,105,0.0,6.3,MOVIE,Up in Arms
1938,62,0.0,3.9,MOVIE,The Terror of Tiny Town
1924,55,0.0,5.2,MOVIE,"$50,000 Reward"
1933,54,0.0,5.4,MOVIE,Sagebrush Trail
1935,53,0.0,4.1,MOVIE,Murder by Television
1933,66,0.0,5.2,MOVIE,A Shriek in the Night
1936,89,0.0,6.5,MOVIE,The Milky Way
1932,60,0.0,4.1,MOVIE,The Monster Walks
1939,72,0.0,6.4,MOVIE,Raffles
1933,80,0.0,5.0,MOVIE,Oliver Twist
1935,70,0.0,4.4,MOVIE,The New Adventures of Tarzan
1944,65,0.0,6.4,MOVIE,Lumberjack
1925,95,0.0,6.8,MOVIE,Little Annie Rooney
1914,81,0.0,5.4,MOVIE,The Patchwork Girl of Oz
1934,69,0.0,5.6,MOVIE,The Ghost Walks
1946,100,0.0,6.6,MOVIE,The Strange Woman
1946,59,0.0,6.8,MOVIE,Jivin' in Bebop
1945,93,0.0,6.0,MOVIE,Blood on the Sun
1947,96,0.0,6.4,MOVIE,The Perils of Pauline
1936,53,0.0,5.2,MOVIE,Happy Go Lucky
1949,75,0.0,5.4,MOVIE,The Big Cat
1949,75,0.0,5.0,MOVIE,Squadron of Doom
