release_year,runtime,seasons,imdb_score,type,title
1987,88,0.0,5.3,MOVIE,Down Twisted
1989,93,0.0,5.6,MOVIE,Stepfather 2
1983,100,0.0,6.6,MOVIE,The Hound of the Baskervilles
1990,95,0.0,5.9,MOVIE,Lisa
1985,100,0.0,4.9,MOVIE,Terror at London Bridge
1982,95,0.0,6.8,MOVIE,Shaolin Temple
1983,60,0.0,2.2,MOVIE,Copper Mountain
1985,79,0.0,3.4,MOVIE,Savage Island
1983,89,0.0,4.6,MOVIE,Escape from the Bronx
1984,95,0.0,5.6,MOVIE,Until September
1986,92,0.0,5.1,MOVIE,Windrider
1989,99,0.0,5.1,MOVIE,Physical Evidence
1987,83,0.0,5.6,MOVIE,Timestalkers
1986,87,0.0,3.5,MOVIE,Land of Doom
1989,94,0.0,6.3,MOVIE,Chattahoochee
1988,87,0.0,4.8,MOVIE,The Unnamable
1987,46,0.0,6.4,MOVIE,Saint Seiya: Evil Goddess Eris
1987,109,0.0,5.9,MOVIE,The Big Town
1985,88,0.0,3.9,MOVIE,The Adventures of Hercules
1989,45,0.0,6.5,MOVIE,Saint Seiya: Warriors of the Final Holy Battle
1988,91,0.0,5.9,MOVIE,The Inspector Wears Skirts
1985,82,0.0,5.2,MOVIE,Beer
1989,60,0.0,9.1,MOVIE,Steven Banks: Home Entertainment Center
1983,97,0.0,6.4,MOVIE,The Sign of Four
1989,95,0.0,6.3,MOVIE,Manhunt: Search for the Night Stalker
1988,89,0.0,3.6,MOVIE,After School
1984,100,0.0,5.5,MOVIE,A Breed Apart
1987,105,0.0,4.3,MOVIE,Terminal Exposure
1988,90,0.0,5.4,MOVIE,Edge of the Axe
1985,95,0.0,5.3,MOVIE,The Berlin Affair
1985,58,0.0,8.1,MOVIE,Gallagher: the Bookkeeper
1989,100,1.0,5.6,SHOW,Act of Will
1987,91,0.0,2.8,MOVIE,Firehouse
1990,105,0.0,6.1,MOVIE,A Girl of the Limberlost
1987,123,0.0,6.6,MOVIE,Lute: Forge On or Die
1985,24,1.0,8.5,SHOW,Ninja Robots
1985,125,0.0,4.8,MOVIE,Wild Geese II
1985,100,0.0,7.5,MOVIE,Stone Pillow
1988,84,0.0,6.4,MOVIE,In the Line of Duty 3
1987,82,0.0,5.3,MOVIE,Made in U.S.A.
1986,92,0.0,5.5,MOVIE,Detective School Dropouts
1988,87,0.0,4.9,MOVIE,Cameron's Closet
1984,102,0.0,5.9,MOVIE,The Ratings Game
1985,111,0.0,6.2,MOVIE,Thunder Alley
1985,86,0.0,6.6,MOVIE,Sugarbaby
1990,97,0.0,7.3,MOVIE,The Long Walk Home
1989,89,0.0,4.5,MOVIE,Grave Secrets
1987,99,0.0,5.2,MOVIE,Slam Dance
1985,56,0.0,5.9,MOVIE,The Canterville Ghost
1986,50,0.0,7.8,MOVIE,The Christmas Toy
1990,97,0.0,3.8,MOVIE,The Forbidden Dance
1988,75,0.0,7.3,MOVIE,Saint Seiya: Legend of Crimson Youth
1988,78,0.0,5.4,MOVIE,It Takes Two
1989,58,0.0,7.7,MOVIE,Battered
1988,89,0.0,4.9,MOVIE,The Undertaker
1985,108,0.0,3.9,MOVIE,Mata Hari
1984,100,0.0,6.7,MOVIE,A Matter of Sex
1985,93,0.0,6.4,MOVIE,Stronghold
1989,112,0.0,6.7,MOVIE,Queen of Hearts
1988,100,0.0,5.6,MOVIE,Moving Target
1986,146,0.0,6.3,MOVIE,The Last Days of Patton
1990,174,0.0,7.6,MOVIE,Agneepath
1985,197,0.0,6.4,MOVIE,The Key to Rebecca
1987,23,1.0,6.9,SHOW,My Pet Monster
1987,95,0.0,5.1,MOVIE,Deep Dark Secrets
1986,90,0.0,4.9,MOVIE,Unmasking The Idol
1988,97,0.0,4.8,MOVIE,Sticky Fingers
1988,93,0.0,6.3,MOVIE,My First Love
1988,88,0.0,3.4,MOVIE,Glitch!
1981,182,0.0,7.2,MOVIE,Silsila
1986,87,0.0,3.3,MOVIE,Hell Squad
1981,107,0.0,7.6,MOVIE,Do You Remember Dolly Bell?
1988,93,0.0,5.9,MOVIE,Mr. North
1984,82,0.0,4.2,MOVIE,Hell Behind the Bars
1981,107,0.0,6.7,MOVIE,Céleste
1988,96,0.0,6.6,MOVIE,Inherit the Wind
1990,180,0.0,6.2,MOVIE,Aashiqui
1984,26,1.0,7.0,SHOW,The Prisoner of Zenda
1989,94,0.0,5.7,MOVIE,Rosalie Goes Shopping
1990,94,0.0,3.4,MOVIE,"Out of Sight, Out of Mind"
1984,100,0.0,6.1,MOVIE,Jealousy
1988,90,0.0,3.0,MOVIE,Predator: The Quietus
1982,90,0.0,6.2,MOVIE,Boy Takes Girl
1989,120,0.0,5.8,MOVIE,Old Gringo
1985,85,0.0,4.0,MOVIE,War Of The God Monsters
1986,83,0.0,3.6,MOVIE,Stoogemania
1989,24,0.0,8.5,MOVIE,Lighthouse Island
1989,92,0.0,3.6,MOVIE,Ninja Academy
1988,92,0.0,3.2,MOVIE,In Dangerous Company
1985,73,0.0,7.6,MOVIE,Firesign Theatre Presents 'Hot Shorts'
1990,94,0.0,2.7,MOVIE,Ator IV: The Hobgoblin
1981,121,0.0,6.8,MOVIE,My Young Auntie
1987,104,0.0,5.2,MOVIE,Strike Commando
1987,87,0.0,3.5,MOVIE,Overkill
1989,93,0.0,5.6,MOVIE,Street of No Return
1986,100,0.0,5.7,MOVIE,The Right of the People
1989,96,0.0,3.9,MOVIE,Ministry of Vengeance
1989,100,0.0,6.2,MOVIE,Bridge to Silence
1985,115,0.0,5.9,MOVIE,The Assisi Underground
1990,104,0.0,6.9,MOVIE,A Chinese Ghost Story II
1989,87,0.0,3.3,MOVIE,Bloodbath in Psycho Town
1988,120,0.0,6.1,MOVIE,El Lute II: Tomorrow I'll Be Free
1990,15,15.0,7.3,SHOW,How 2
1989,106,0.0,4.6,MOVIE,The Secret of the Ice Cave
1984,25,1.0,8.5,SHOW,Crime Inc.
1989,108,0.0,5.1,MOVIE,Sounds of Silence
1981,60,0.0,4.4,MOVIE,Death of a Prophet
1989,28,1.0,6.9,SHOW,Young Charlie Chaplin
1988,111,0.0,5.9,MOVIE,The Wizard of Loneliness
1986,95,0.0,5.7,MOVIE,Women of Valor
1984,95,0.0,5.4,MOVIE,The Census Taker
1981,92,0.0,4.6,MOVIE,Separate Ways
1987,92,0.0,4.9,MOVIE,City of Shadows
1981,161,0.0,6.4,MOVIE,Thee
1987,91,0.0,4.5,MOVIE,Young Love
1984,95,0.0,5.5,MOVIE,Tuareg: Desert Warrior
1988,95,0.0,4.8,MOVIE,Strike Commando 2
1984,105,0.0,4.7,MOVIE,The Next One
1989,145,0.0,6.8,MOVIE,Vetri Vizha
1981,95,0.0,7.3,MOVIE,Gallagher: Mad As Hell
1986,22,1.0,8.6,SHOW,Den of Wolves
1987,92,0.0,4.1,MOVIE,Hotel Colonial
1984,22,5.0,7.2,SHOW,Super Password
1982,102,0.0,6.0,MOVIE,Twilight Time
1989,90,0.0,6.0,MOVIE,The Case of the Hillside Stranglers
1984,100,0.0,4.7,MOVIE,Calendar Girl Murders
1986,95,0.0,5.6,MOVIE,One More Saturday Night
1983,80,0.0,3.3,MOVIE,Baby Cat
1982,91,0.0,6.4,MOVIE,In the Custody of Strangers
1982,97,0.0,4.8,MOVIE,The Fist of Death
1983,50,0.0,7.4,MOVIE,Gallagher: Stuck in the 60's
1983,120,0.0,6.3,MOVIE,Razia Sultan
1983,133,0.0,6.4,MOVIE,The Swing
1988,100,0.0,4.0,MOVIE,Tusks
1986,70,0.0,7.7,MOVIE,Elayne Boosler: Party of One
1982,102,0.0,4.6,MOVIE,Foxfire Light
1986,94,0.0,5.3,MOVIE,Emma's War
1989,89,0.0,6.0,MOVIE,Little Sweetheart
1989,87,0.0,5.1,MOVIE,Tripwire
1983,91,0.0,5.6,MOVIE,Through Naked Eyes
1989,102,0.0,5.8,MOVIE,From Hollywood to Deadwood
1990,86,0.0,4.8,MOVIE,The Dark Avenger
1990,159,0.0,4.5,MOVIE,Jeevan Ek Sanghursh
1983,100,0.0,5.1,MOVIE,Carpool
1985,104,0.0,6.9,MOVIE,Marvin & Tige
1990,100,0.0,7.2,MOVIE,The Love She Sought
1982,129,0.0,8.4,MOVIE,Sawaal
1986,146,0.0,7.2,MOVIE,Mr. Bharath
1985,100,0.0,6.0,MOVIE,Brass
1984,43,0.0,7.1,MOVIE,Gallagher: Melon Crazy
1989,159,0.0,5.0,MOVIE,Rakhwala
1989,137,0.0,5.7,MOVIE,Enna Petha Raasa
1987,172,0.0,4.8,MOVIE,Muqaddar Ka Faisla
1984,160,0.0,5.0,MOVIE,Tohfa
1989,90,0.0,6.2,MOVIE,Lady in the Corner
1988,58,0.0,6.5,MOVIE,Slaying the Dragon
1987,87,0.0,4.4,MOVIE,"Slate, Wyn & Me"
1990,94,0.0,4.9,MOVIE,Murder in Paradise
1985,150,0.0,6.5,MOVIE,Hitler's SS : Portrait In Evil
1990,105,0.0,6.6,MOVIE,Under Crystal Lake
1987,84,0.0,3.4,MOVIE,L.A. Crackdown
1989,179,0.0,7.8,MOVIE,Chandni
1985,136,0.0,7.1,MOVIE,Naane Raja Naane Manthiri
1987,88,0.0,4.0,MOVIE,Three Kinds of Heat
1986,138,0.0,6.4,MOVIE,Nagina
1989,100,0.0,4.4,MOVIE,Wild Zone
1989,180,0.0,6.8,MOVIE,Raja Chinna Roja
1981,142,0.0,5.3,MOVIE,Callie & Son
1984,58,0.0,7.3,MOVIE,Gallagher: Over Your Head
1988,95,0.0,5.6,MOVIE,Drop-Out Mother
1986,162,0.0,4.7,MOVIE,Insaaf Ki Awaaz
1988,172,0.0,5.3,MOVIE,Vijay
1985,146,0.0,4.4,MOVIE,Faasle
1986,97,0.0,5.4,MOVIE,Beverly Hills Madam
1984,120,0.0,6.4,MOVIE,Quilombo
1990,130,0.0,7.7,MOVIE,Shubha Bol Narya
1990,145,0.0,6.9,MOVIE,Nadigan
1990,150,0.0,5.1,MOVIE,Azaad Desh Ke Gulam
1984,170,0.0,6.2,MOVIE,Duniya
1984,166,0.0,5.6,MOVIE,Maqsad
1984,162,0.0,7.2,MOVIE,Mashaal
1986,111,0.0,6.0,MOVIE,Foreign Body
1981,112,0.0,6.1,MOVIE,Nakhuda
1985,148,0.0,7.0,MOVIE,Babu
1988,92,0.0,4.7,MOVIE,The Perfect Match
1985,115,0.0,4.7,MOVIE,Flying Devils
1983,100,0.0,5.7,MOVIE,Joe Dancer III: The Big Trade
1987,142,0.0,5.1,MOVIE,Premasathi Vattel Te
1981,100,0.0,5.4,MOVIE,Joe Dancer: The Big Black Pill
1985,125,0.0,5.8,MOVIE,Nalla Thambi
1981,148,0.0,6.2,MOVIE,Barsaat Ki Ek Raat
1986,156,0.0,7.2,MOVIE,Amhi Doghe Raja Rani
1981,120,0.0,6.1,MOVIE,Joe Dancer II: The Monkey Mission
1989,145,0.0,6.9,MOVIE,Thartharat
1988,135,0.0,7.7,MOVIE,Ek Gadi Baaki Anadi
1987,97,0.0,4.0,MOVIE,You Talkin' To Me?
1985,92,0.0,4.9,MOVIE,What Comes Around
1981,90,0.0,4.2,MOVIE,Choices
1989,140,0.0,5.2,MOVIE,Nigahen: Nagina Part II
1988,136,0.0,6.4,MOVIE,Chhoto Bou
1988,133,0.0,3.4,MOVIE,Thaimel Aanai
1987,54,0.0,6.6,MOVIE,The Haunting of Barney Palmer
1984,144,0.0,7.0,MOVIE,Pudhumai Penn
1987,86,0.0,6.6,MOVIE,The Wild Swans
1987,94,0.0,5.7,MOVIE,Fight for Life
1982,62,0.0,5.6,MOVIE,Gallagher: That's Stupid
1986,90,0.0,6.6,MOVIE,Samaritan: The Mitch Snyder Story
1992,128,0.0,7.3,MOVIE,A League of Their Own
1999,89,0.0,7.7,MOVIE,Office Space
2000,48,42.0,7.4,SHOW,Survivor
1997,126,0.0,7.6,MOVIE,The Fifth Element
1999,19,13.0,8.2,SHOW,SpongeBob SquarePants
1997,194,0.0,7.9,MOVIE,Titanic
1997,116,0.0,6.9,MOVIE,Con Air
1997,52,7.0,8.3,SHOW,Buffy the Vampire Slayer
1993,130,0.0,7.8,MOVIE,Tombstone
1997,22,24.0,7.6,SHOW,Pokémon
2000,112,0.0,6.7,MOVIE,The Gift
2000,107,0.0,7.7,MOVIE,"O Brother, Where Art Thou?"
1997,107,0.0,7.3,MOVIE,Grosse Pointe Blank
1996,98,0.0,8.1,MOVIE,Fargo
1999,107,0.0,8.2,MOVIE,The Sixth Sense
1995,106,0.0,8.5,MOVIE,The Usual Suspects
1998,151,0.0,6.7,MOVIE,Armageddon
1996,145,0.0,7.0,MOVIE,Independence Day
1999,48,5.0,8.3,SHOW,Farscape
1999,105,0.0,7.3,MOVIE,Sleepy Hollow
2000,143,0.0,7.8,MOVIE,Cast Away
2000,106,0.0,7.3,MOVIE,Unbreakable
1995,177,0.0,8.4,MOVIE,Braveheart
1992,34,33.0,6.2,SHOW,The Real World
1998,93,0.0,7.6,MOVIE,Rushmore
1998,132,0.0,7.3,MOVIE,Enemy of the State
1999,22,1.0,6.1,SHOW,Sonic Underground
1999,108,0.0,7.7,MOVIE,The Boondock Saints
2000,83,0.0,5.5,MOVIE,"Dude, Where's My Car?"
1992,23,10.0,6.7,SHOW,Mad About You
1999,97,0.0,7.2,MOVIE,The Virgin Suicides
1994,44,4.0,7.3,SHOW,The Man from Snowy River
1996,105,0.0,7.3,MOVIE,Bound
1999,113,0.0,6.8,MOVIE,The Thomas Crown Affair
1998,123,0.0,7.1,MOVIE,Shakespeare in Love
1996,25,7.0,6.9,SHOW,Blue's Clues
1993,22,4.0,6.2,SHOW,Adventures of Sonic the Hedgehog
1991,107,0.0,6.8,MOVIE,Dead Again
1993,139,0.0,7.7,MOVIE,The Joy Luck Club
1998,95,0.0,6.7,MOVIE,Sliding Doors
1993,109,0.0,6.5,MOVIE,Fire in the Sky
1996,95,0.0,4.3,MOVIE,Bio-Dome
1999,103,0.0,7.3,MOVIE,Election
1995,130,0.0,7.2,MOVIE,GoldenEye
1995,98,0.0,5.3,MOVIE,Tank Girl
1991,93,0.0,6.3,MOVIE,Bill & Ted's Bogus Journey
1996,26,25.0,7.4,SHOW,Arthur
2000,24,1.0,8.0,SHOW,Ghost Stories
1992,90,0.0,7.1,MOVIE,Orlando
2000,26,8.0,4.2,SHOW,Dora the Explorer
1996,89,0.0,6.5,MOVIE,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
1999,42,5.0,7.9,SHOW,Angel
1996,105,0.0,7.3,MOVIE,Pusher
2000,110,0.0,6.6,MOVIE,Shanghai Noon
2000,111,0.0,7.5,MOVIE,You Can Count on Me
1995,108,0.0,5.8,MOVIE,Species
1996,116,0.0,6.6,MOVIE,Courage Under Fire
1995,108,0.0,7.5,MOVIE,The City of Lost Children
1991,140,0.0,7.2,MOVIE,The Doors
1998,110,0.0,6.2,MOVIE,Small Soldiers
1996,102,0.0,6.8,MOVIE,Freeway
2000,88,0.0,5.3,MOVIE,Heavy Metal 2000
1993,101,0.0,4.5,MOVIE,Body of Evidence
1991,97,0.0,6.6,MOVIE,Soapdish
1997,113,0.0,6.6,MOVIE,Kiss the Girls
1992,28,14.0,3.8,SHOW,Barney & Friends
1997,116,0.0,6.2,MOVIE,The Saint
1994,107,0.0,7.2,MOVIE,The Madness of King George
1994,121,0.0,6.2,MOVIE,Blown Away
1995,90,0.0,6.3,MOVIE,Nick of Time
1993,117,0.0,6.7,MOVIE,Kalifornia
1999,113,0.0,5.0,MOVIE,The Haunting
1999,65,0.0,8.5,MOVIE,George Carlin: You Are All Diseased
1991,134,0.0,7.2,MOVIE,Once Upon a Time in China
1993,22,3.0,7.5,SHOW,Tales from the Cryptkeeper
2000,56,19.0,7.9,SHOW,Secrets of the Dead
1996,88,0.0,5.7,MOVIE,American Buffalo
1999,48,2.0,8.2,SHOW,Queer as Folk
1995,49,3.0,7.8,SHOW,Hamish Macbeth
2000,99,0.0,6.0,MOVIE,Shaft
1995,96,0.0,6.0,MOVIE,The Indian in the Cupboard
1991,23,7.0,8.2,SHOW,The Adventures of Tintin
1996,104,0.0,6.5,MOVIE,2 Days in the Valley
1996,92,0.0,5.7,MOVIE,Thinner
2000,74,0.0,5.9,MOVIE,Pokémon 3: The Movie - Spell of the Unown
1999,105,0.0,5.4,MOVIE,Forces of Nature
1992,94,0.0,6.8,MOVIE,Romper Stomper
1995,89,0.0,7.5,MOVIE,Living in Oblivion
2000,90,0.0,6.1,MOVIE,Spiral
1991,30,3.0,8.3,SHOW,Bottom
1999,26,2.0,7.5,SHOW,Zoboomafoo
1998,94,0.0,7.0,MOVIE,Croupier
1996,101,0.0,4.6,MOVIE,Eye for an Eye
2000,92,0.0,4.5,MOVIE,Fortress 2
1991,77,0.0,6.0,MOVIE,Rock-A-Doodle
1994,108,0.0,6.2,MOVIE,Blue Chips
1992,90,0.0,5.6,MOVIE,Mikey
2000,110,0.0,6.9,MOVIE,Barking Dogs Never Bite
1999,98,0.0,6.0,MOVIE,The Trench
1991,108,0.0,6.7,MOVIE,Regarding Henry
1992,135,0.0,7.4,MOVIE,Passion Fish
1994,48,21.0,8.5,SHOW,Time Team
1998,24,10.0,3.9,SHOW,Caillou
1995,100,0.0,4.6,MOVIE,Vampire in Brooklyn
1994,102,0.0,7.2,MOVIE,Street Fighter II: The Animated Movie
2000,21,3.0,5.3,SHOW,Clifford the Big Red Dog
1996,21,6.0,5.7,SHOW,Moesha
1998,34,4.0,8.2,SHOW,The Royle Family
1994,22,6.0,6.2,SHOW,"Sister, Sister"
1992,98,0.0,6.9,MOVIE,Diggstown
1991,110,0.0,5.6,MOVIE,Double Impact
2000,96,0.0,5.7,MOVIE,Drowning Mona
1999,104,0.0,7.3,MOVIE,The Winslow Boy
1997,102,0.0,6.7,MOVIE,Fever Pitch
1992,90,0.0,6.0,MOVIE,Split Second
1997,90,0.0,5.7,MOVIE,Into Thin Air: Death on Everest
1996,97,0.0,6.1,MOVIE,Albino Alligator
1991,116,0.0,6.3,MOVIE,Not Without My Daughter
1998,93,0.0,4.4,MOVIE,Species II
2000,90,0.0,7.1,MOVIE,The Miracle Maker
2000,47,1.0,6.6,SHOW,Call of the Wild
2000,90,0.0,5.6,MOVIE,It Had to Be You
1995,181,0.0,8.0,MOVIE,Dilwale Dulhania Le Jayenge
1994,89,0.0,3.8,MOVIE,Double Dragon
1999,25,1.0,8.4,SHOW,Great Teacher Onizuka
1994,98,0.0,5.3,MOVIE,Intersection
2000,96,0.0,4.3,MOVIE,Left Behind: The Movie
1998,21,6.0,6.3,SHOW,Rolie Polie Olie
1999,104,0.0,4.7,MOVIE,The Rage: Carrie 2
1991,120,0.0,6.8,MOVIE,Impromptu
1992,101,0.0,6.0,MOVIE,White Sands
1996,20,0.0,5.3,MOVIE,Sonic: Christmas Blast
1996,116,0.0,6.3,MOVIE,Kansas City
1992,94,0.0,5.9,MOVIE,Once Upon a Crime
1996,89,0.0,6.6,MOVIE,Wish Upon a Star
2000,93,0.0,3.8,MOVIE,Trois
1998,90,0.0,6.8,MOVIE,Jeremiah
1992,126,0.0,6.4,MOVIE,Wind
1997,30,12.0,7.2,SHOW,Ground Force
1995,100,0.0,5.8,MOVIE,Wild Bill
1994,96,0.0,5.8,MOVIE,S.F.W.
1998,70,0.0,7.5,MOVIE,Kirikou and the Sorceress
1997,95,0.0,5.4,MOVIE,8 Heads in a Duffel Bag
1997,43,4.0,7.1,SHOW,Murder Call
1993,91,0.0,6.2,MOVIE,Fist of the Red Dragon
1998,105,0.0,6.4,MOVIE,The Opposite of Sex
1997,49,1.0,7.4,SHOW,Ivanhoe
1999,21,3.0,7.0,SHOW,Monster Rancher
1997,98,0.0,6.7,MOVIE,Digging to China
2000,103,0.0,5.6,MOVIE,Autumn in New York
1993,25,7.0,7.1,SHOW,The Big Comfy Couch
1994,87,0.0,7.1,MOVIE,Double Happiness
1992,8,6.0,5.5,SHOW,Bananas in Pyjamas
1996,95,0.0,5.3,MOVIE,Space Truckers
1996,87,0.0,5.9,MOVIE,Face of Evil
1995,96,0.0,6.7,MOVIE,Gamera: Guardian of the Universe
2000,89,0.0,5.1,MOVIE,Snow Day
1996,107,0.0,5.4,MOVIE,Diabolique
1997,100,0.0,4.9,MOVIE,Turbulence
1995,96,0.0,6.6,MOVIE,Fluke
1996,99,0.0,5.6,MOVIE,Escape Clause
1998,50,7.0,7.9,SHOW,The FBI Files
1997,44,2.0,6.7,SHOW,Big Sky
1999,107,0.0,6.1,MOVIE,L.A. Without a Map
1997,62,1.0,7.7,SHOW,The History of Tom Jones
2000,117,0.0,7.3,MOVIE,Big Eden
1999,94,0.0,5.8,MOVIE,Love Stinks
1995,96,0.0,6.5,MOVIE,When Night Is Falling
1997,119,0.0,7.0,MOVIE,The Assignment
1996,90,0.0,4.7,MOVIE,Big Bully
1996,96,0.0,5.2,MOVIE,Two If by Sea
1994,24,2.0,7.7,SHOW,Magic Knight Rayearth
1991,101,0.0,7.1,MOVIE,Black Robe
1999,83,0.0,5.5,MOVIE,The Love Letter
1994,82,0.0,8.2,MOVIE,Apollo 13: To the Edge and Back
1993,108,0.0,8.1,MOVIE,Lucy and Desi: A Home Movie
1991,91,0.0,5.2,MOVIE,Mindwarp
1996,90,0.0,5.4,MOVIE,Silent Trigger
1999,102,0.0,5.7,MOVIE,Molly
1997,1,0.0,6.4,MOVIE,Incognito
1998,45,2.0,7.4,SHOW,Little Men
1993,74,0.0,8.5,MOVIE,Bill Hicks: Revelations
1999,87,0.0,4.3,MOVIE,The King and I
1999,30,2.0,8.4,SHOW,People Like Us
2000,88,0.0,6.9,MOVIE,The Three Stooges
1994,102,0.0,5.6,MOVIE,Sioux City
1991,24,6.0,7.0,SHOW,Rupert
1994,95,0.0,6.3,MOVIE,Legend of the Red Dragon
1991,84,0.0,5.1,MOVIE,Breathing Fire
1992,105,0.0,6.5,MOVIE,Where the Day Takes You
2000,93,0.0,5.3,MOVIE,Bad Seed
1991,94,0.0,6.8,MOVIE,Sólo con tu pareja
1997,96,0.0,5.1,MOVIE,Grizzly Mountain
1998,83,0.0,5.3,MOVIE,Alice Through the Looking Glass
1993,109,0.0,5.4,MOVIE,Wilder Napalm
1998,97,0.0,6.7,MOVIE,"Dancer, Texas Pop. 81"
1996,27,1.0,8.2,SHOW,Kratts' Creatures
1998,50,2.0,7.1,SHOW,The Ambassador
2000,105,0.0,4.6,MOVIE,The In Crowd
1993,160,0.0,7.1,MOVIE,Germinal
1991,90,0.0,6.2,MOVIE,Motorama
1993,91,0.0,6.3,MOVIE,Twenty Bucks
1991,24,1.0,6.5,SHOW,Toxic Crusaders
2000,92,0.0,6.1,MOVIE,Daydream Believers: The Monkees Story
1994,98,0.0,4.2,MOVIE,Future Shock
1992,89,0.0,5.0,MOVIE,Rage and Honor
2000,122,0.0,5.7,MOVIE,The Million Dollar Hotel
1995,92,0.0,6.7,MOVIE,Jeffrey
1992,132,0.0,6.5,MOVIE,City of Joy
1999,98,0.0,4.9,MOVIE,Black and White
2000,24,5.0,8.0,SHOW,Dogs with Extraordinary Jobs
1994,101,0.0,7.4,MOVIE,Ladybird Ladybird
1998,185,0.0,7.6,MOVIE,Kuch Kuch Hota Hai
2000,112,0.0,5.5,MOVIE,Beautiful
1998,96,0.0,6.7,MOVIE,Bedrooms and Hallways
1993,112,0.0,6.7,MOVIE,Once Upon a Time in China III
1996,88,0.0,6.2,MOVIE,For My Daughter's Honor
1991,44,1.0,7.1,SHOW,The Great Indian Wars 1540-1890
1999,109,0.0,6.8,MOVIE,Molokai: The Story of Father Damien
2000,90,0.0,5.7,MOVIE,Tick Tock
1998,78,0.0,4.9,MOVIE,Slappy and the Stinkers
2000,90,0.0,4.4,MOVIE,Intern
1999,113,0.0,5.2,MOVIE,Forever Mine
1995,106,0.0,6.7,MOVIE,Sahara
1998,96,0.0,3.8,MOVIE,Storm Chasers: Revenge of the Twister
1996,95,0.0,6.4,MOVIE,Unforgivable
1999,90,0.0,6.1,MOVIE,Desert Blue
1992,53,1.0,8.4,SHOW,"The Prize: The Epic Quest for Oil, Money & Power"
1992,98,0.0,5.0,MOVIE,Mad at the Moon
2000,81,0.0,7.2,MOVIE,Grateful Dawg
1999,108,0.0,7.1,MOVIE,Gamera 3: Revenge of Iris
1997,93,0.0,6.0,MOVIE,The Myth of Fingerprints
1997,86,0.0,6.3,MOVIE,Hurricane Streets
1995,93,0.0,3.6,MOVIE,Stormswept
1992,96,0.0,7.1,MOVIE,A Woman Scorned: The Betty Broderick Story
1996,118,0.0,6.8,MOVIE,Mandela
1992,90,0.0,2.6,MOVIE,Badlanders
1991,90,0.0,4.3,MOVIE,Cover-Up
1999,100,0.0,3.5,MOVIE,The Omega Code
2000,109,0.0,5.5,MOVIE,Monarch
2000,89,0.0,4.3,MOVIE,The Calling
1993,87,0.0,4.1,MOVIE,Sins of Desire
1998,103,0.0,6.1,MOVIE,Contract Killer
1996,92,0.0,4.6,MOVIE,Iron Monkey 2
2000,89,0.0,6.4,MOVIE,Wilderness Love
1995,98,0.0,7.1,MOVIE,Priest
2000,73,0.0,7.2,MOVIE,Last Resort
1991,85,0.0,4.4,MOVIE,Vegas in Space
1995,91,0.0,7.0,MOVIE,Serving in Silence: The Margarethe Cammermeyer Story
1997,106,0.0,5.2,MOVIE,Masterminds
1991,30,0.0,5.9,MOVIE,Tim Allen: Rewires America
1999,90,0.0,5.9,MOVIE,Swing Vote
1995,113,0.0,6.0,MOVIE,The Perez Family
1994,93,0.0,6.0,MOVIE,Without Consent
2000,85,0.0,4.6,MOVIE,Gen-Y Cops
1991,92,0.0,4.6,MOVIE,Children of the Night
1995,92,0.0,4.9,MOVIE,Annie: A Royal Adventure
1998,51,1.0,6.5,SHOW,A Difficult Woman
1998,109,0.0,6.7,MOVIE,Evidence of Blood
1996,87,0.0,6.7,MOVIE,Killing Me Softly
1999,93,0.0,6.7,MOVIE,Joe the King
2000,216,0.0,7.0,MOVIE,Mohabbatein
1992,82,0.0,3.5,MOVIE,The Magic Voyage
1996,97,0.0,4.8,MOVIE,Sworn to Justice
1992,95,0.0,5.8,MOVIE,Nervous Ticks
1995,95,0.0,5.8,MOVIE,Black Easter
1996,26,2.0,6.6,SHOW,The Wubbulous World of Dr. Seuss
1991,24,1.0,8.1,SHOW,Jim Henson's The Storyteller: Greek Myths
1991,100,0.0,5.6,MOVIE,Past Midnight
1999,96,0.0,6.0,MOVIE,Harlem Aria
1993,96,0.0,6.5,MOVIE,Morning Glory
1998,90,0.0,4.2,MOVIE,The Process
1999,72,0.0,2.8,MOVIE,The Killer Eye
2000,103,0.0,6.4,MOVIE,"Love, Honour and Obey"
1996,96,0.0,5.6,MOVIE,Race Against Time: The Search for Sarah
1995,101,0.0,6.0,MOVIE,High Risk
1998,93,0.0,5.0,MOVIE,Ice
1996,84,0.0,4.0,MOVIE,Omega Doom
1995,89,0.0,4.9,MOVIE,Falling For You
1999,76,0.0,5.6,MOVIE,Into His Arms
1996,52,0.0,7.0,MOVIE,The Fatal Game
1997,107,0.0,7.1,MOVIE,The Island on Bird Street
1995,88,0.0,4.8,MOVIE,Across the Moon
1996,177,0.0,6.1,MOVIE,Raja Hindustani
1995,58,0.0,7.9,MOVIE,Richard Jeni: Platypus Man
1993,99,0.0,5.0,MOVIE,Younger and Younger
1995,99,0.0,7.0,MOVIE,Stonewall
1998,105,0.0,5.9,MOVIE,The Tribe
1992,92,0.0,3.6,MOVIE,The Naked Truth
1996,96,0.0,4.7,MOVIE,The Bermuda Triangle
1996,107,0.0,5.9,MOVIE,Late Bloomers
2000,88,0.0,5.6,MOVIE,A Tale of Two Bunnies
1996,99,0.0,7.0,MOVIE,Gamera 2: Attack of Legion
2000,100,0.0,5.4,MOVIE,Once Upon A Christmas
